Departamento,Hecho Vistimizante,No.Victimas
Boyacá,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",74
Boyacá,Perdida de Bienes Muebles o Inmuebles,1191
Boyacá,SIN INFORMACION,0
Boyacá,Secuestro,276
Boyacá,Tortura,181
Boyacá,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",54
Caldas,Abandono o Despojo Forzado de Tierras,0
Caldas,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",1553
Caldas,Amenaza,5463
Caldas,Confinamiento,0
Caldas,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,261
Caldas,Desaparición forzada,2923
Caldas,Desplazamiento Forzado,118018
Caldas,"Homicidio, Masacre",20270
Caldas,Lesiones Personales Fisicas,76
Caldas,Lesiones Personales Psicologicas,4
Caldas,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",102
Caldas,Perdida de Bienes Muebles o Inmuebles,1942
Caldas,SIN INFORMACION,0
Caldas,Secuestro,457
Caldas,Tortura,118
Caldas,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",143
Caquetá,Abandono o Despojo Forzado de Tierras,0
Caquetá,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",2243
Caquetá,Amenaza,28821
Caquetá,Confinamiento,0
Caquetá,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,1124
Caquetá,Desaparición forzada,5572
Caquetá,Desplazamiento Forzado,218722
Caquetá,"Homicidio, Masacre",28026
Caquetá,Lesiones Personales Fisicas,257
Caquetá,Lesiones Personales Psicologicas,4
Caquetá,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",260
Caquetá,Perdida de Bienes Muebles o Inmuebles,5911
Caquetá,SIN INFORMACION,5
Caquetá,Secuestro,859
Caquetá,Tortura,506
Caquetá,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",155
Casanare,Abandono o Despojo Forzado de Tierras,0
Casanare,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",620
Casanare,Amenaza,6701
Casanare,Confinamiento,0
Casanare,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,256
Casanare,Desaparición forzada,4007
Casanare,Desplazamiento Forzado,62365
Casanare,"Homicidio, Masacre",15215
Casanare,Lesiones Personales Fisicas,82
Casanare,Lesiones Personales Psicologicas,4
Casanare,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",157
Casanare,Perdida de Bienes Muebles o Inmuebles,1213
Casanare,SIN INFORMACION,0
Casanare,Secuestro,585
Casanare,Tortura,230
Casanare,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",124
Cauca,Abandono o Despojo Forzado de Tierras,0
Cauca,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",20653
Cauca,Amenaza,27906
Cauca,Confinamiento,914
Cauca,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,1113
Cauca,Desaparición forzada,4207
Cauca,Desplazamiento Forzado,324037
Cauca,"Homicidio, Masacre",52956
Cauca,Lesiones Personales Fisicas,556
Cauca,Lesiones Personales Psicologicas,40
Cauca,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",480
Cauca,Perdida de Bienes Muebles o Inmuebles,4287
Cauca,SIN INFORMACION,1
Cauca,Secuestro,1116
Cauca,Tortura,433
Cauca,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",189
Cesar,Abandono o Despojo Forzado de Tierras,0
Cesar,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",1647
Cesar,Amenaza,11902
Cesar,Confinamiento,0
Cesar,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,802
Cesar,Desaparición forzada,8197
Cesar,Desplazamiento Forzado,377289
Cesar,"Homicidio, Masacre",47982
Cesar,Lesiones Personales Fisicas,117
Cesar,Lesiones Personales Psicologicas,7
Cesar,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",67
Cesar,Perdida de Bienes Muebles o Inmuebles,3480
Cesar,SIN INFORMACION,2
Cesar,Secuestro,1809
Cesar,Tortura,360
Cesar,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",37
Chocó,Abandono o Despojo Forzado de Tierras,0
Chocó,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",3505
Chocó,Amenaza,11106
Chocó,Confinamiento,9362
Chocó,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,716
Chocó,Desaparición forzada,1730
Chocó,Desplazamiento Forzado,307539
Chocó,"Homicidio, Masacre",9525
Chocó,Lesiones Personales Fisicas,138
Chocó,Lesiones Personales Psicologicas,2
Chocó,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",53
Chocó,Perdida de Bienes Muebles o Inmuebles,6097
Chocó,SIN INFORMACION,0
Chocó,Secuestro,623
Chocó,Tortura,161
Chocó,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",98
Cundinamarca,Abandono o Despojo Forzado de Tierras,0
Cundinamarca,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",975
Cundinamarca,Amenaza,10620
Cundinamarca,Confinamiento,0
Cundinamarca,Delitos contra la Libertad y la Integridad sexual en desarrollo del conflicto Armado,446
Cundinamarca,Desaparición forzada,2291
Cundinamarca,Desplazamiento Forzado,170322
Cundinamarca,"Homicidio, Masacre",16524
Cundinamarca,Lesiones Personales Fisicas,124
Cundinamarca,Lesiones Personales Psicologicas,4
Cundinamarca,"Minas Antipersonal, Munición sin Explotar y artefacto explosivo improvisado",109
Cundinamarca,Perdida de Bienes Muebles o Inmuebles,1123
Cundinamarca,SIN INFORMACION,0
Cundinamarca,Secuestro,236
Cundinamarca,Tortura,156
Cundinamarca,"Vincuación de Niños, Niñas y Adolescentes a actividades relacionadas con grupos armados",85
Córdoba,Abandono o Despojo Forzado de Tierras,0
Córdoba,"Acto terrorista, Atentados, Combates, Enfrentamientos, Hostigamientos",1049
Córdoba,Amenaza,7771
